creation,customer,customer_name,docstatus,due_date,grand_total,modified,name,posting_date,status,territory
2026-01-11 06:01:54.973016,Khalid Hassan 355,Khalid Hassan 355,0,2025-02-27,1351.19,2026-01-11 06:01:54.973016,ACC-SINV-2026-00259,2025-01-26,Draft,Industrial Branch
2026-01-11 06:01:55.193664,Khalid Hassan 355,Khalid Hassan 355,0,2025-04-27,115.88,2026-01-11 06:01:55.193664,ACC-SINV-2026-00260,2025-03-10,Draft,Industrial Branch
2026-01-11 06:01:55.421765,Khalid Hassan 355,Khalid Hassan 355,0,2025-05-17,127.75,2026-01-11 06:01:55.421765,ACC-SINV-2026-00261,2025-04-04,Draft,Industrial Branch
2026-01-11 06:01:55.662303,Khalid Hassan 355,Khalid Hassan 355,0,2025-06-30,18314.4,2026-01-11 06:01:55.662303,ACC-SINV-2026-00262,2025-05-11,Draft,Industrial Branch
2026-01-11 06:01:56.256351,Khalid Hassan 355,Khalid Hassan 355,0,2025-07-18,4146.92,2026-01-11 06:01:56.256351,ACC-SINV-2026-00263,2025-05-27,Draft,Industrial Branch
2026-01-11 06:01:56.481193,Khalid Hassan 355,Khalid Hassan 355,0,2025-08-11,561.74,2026-01-11 06:01:56.481193,ACC-SINV-2026-00264,2025-07-08,Draft,Industrial Branch
2026-01-11 06:01:56.711757,Khalid Hassan 355,Khalid Hassan 355,0,2025-10-02,1861.0,2026-01-11 06:01:56.711757,ACC-SINV-2026-00265,2025-08-09,Draft,Industrial Branch
2026-01-11 06:01:56.945133,Khalid Hassan 355,Khalid Hassan 355,0,2025-10-16,228.3,2026-01-11 06:01:56.945133,ACC-SINV-2026-00266,2025-09-08,Draft,Industrial Branch
2026-01-11 06:01:57.171707,Khalid Hassan 355,Khalid Hassan 355,0,2025-12-02,13475.42,2026-01-11 06:01:57.171707,ACC-SINV-2026-00267,2025-10-18,Draft,Industrial Branch
2026-01-11 06:01:57.390749,Khalid Hassan 355,Khalid Hassan 355,0,2025-12-22,7961.63,2026-01-11 06:01:57.390749,ACC-SINV-2026-00268,2025-11-15,Draft,Industrial Branch
2026-01-11 06:01:57.576860,Khalid Hassan 355,Khalid Hassan 355,0,2026-02-10,309.36,2026-01-11 06:01:57.576860,ACC-SINV-2026-00269,2025-12-19,Draft,Industrial Branch
2026-01-11 06:01:57.761409,Khalid Hassan 355,Khalid Hassan 355,0,2026-02-14,314.69,2026-01-11 06:01:57.761409,ACC-SINV-2026-00270,2026-01-04,Draft,Industrial Branch
2026-01-11 06:01:57.946545,Mustafa Akter 416,Mustafa Akter 416,0,2024-09-21,37702.94,2026-01-11 06:01:57.946545,ACC-SINV-2026-00271,2024-08-21,Draft,Eastside Branch
2026-01-11 06:01:58.135603,Mustafa Akter 416,Mustafa Akter 416,0,2024-11-13,203.09,2026-01-11 06:01:58.135603,ACC-SINV-2026-00272,2024-09-21,Draft,Eastside Branch
2026-01-11 06:01:58.665251,Mustafa Akter 416,Mustafa Akter 416,0,2024-11-18,174.61,2026-01-11 06:01:58.665251,ACC-SINV-2026-00273,2024-10-12,Draft,Eastside Branch
2026-01-11 06:01:58.848971,Mustafa Akter 416,Mustafa Akter 416,0,2024-11-30,881.65,2026-01-11 06:01:58.848971,ACC-SINV-2026-00274,2024-10-29,Draft,Eastside Branch
2026-01-11 06:01:59.031529,Mustafa Akter 416,Mustafa Akter 416,0,2025-01-24,45820.72,2026-01-11 06:01:59.031529,ACC-SINV-2026-00275,2024-12-11,Draft,Eastside Branch
2026-01-11 06:01:59.229262,Mustafa Akter 416,Mustafa Akter 416,0,2025-03-06,877.07,2026-01-11 06:01:59.229262,ACC-SINV-2026-00276,2025-01-13,Draft,Eastside Branch
2026-01-11 06:01:59.424133,Mustafa Akter 416,Mustafa Akter 416,0,2025-03-19,14521.39,2026-01-11 06:01:59.424133,ACC-SINV-2026-00277,2025-01-30,Draft,Eastside Branch
2026-01-11 06:01:59.605187,Mustafa Akter 416,Mustafa Akter 416,0,2025-03-31,6215.25,2026-01-11 06:01:59.605187,ACC-SINV-2026-00278,2025-02-25,Draft,Eastside Branch
2026-01-11 06:01:59.786279,Mustafa Akter 416,Mustafa Akter 416,0,2025-05-07,43352.25,2026-01-11 06:01:59.786279,ACC-SINV-2026-00279,2025-03-14,Draft,Eastside Branch
2026-01-11 06:01:59.976067,Mustafa Akter 416,Mustafa Akter 416,0,2025-06-05,573.96,2026-01-11 06:01:59.976067,ACC-SINV-2026-00280,2025-04-24,Draft,Eastside Branch
2026-01-11 06:02:00.184778,Mustafa Akter 416,Mustafa Akter 416,0,2025-06-26,14241.43,2026-01-11 06:02:00.184778,ACC-SINV-2026-00281,2025-05-09,Draft,Eastside Branch
2026-01-11 06:02:00.419164,Mustafa Akter 416,Mustafa Akter 416,0,2025-07-13,716.08,2026-01-11 06:02:00.419164,ACC-SINV-2026-00282,2025-05-30,Draft,Eastside Branch
2026-01-11 06:02:01.083129,Mustafa Akter 416,Mustafa Akter 416,0,2025-07-30,5644.58,2026-01-11 06:02:01.083129,ACC-SINV-2026-00283,2025-06-19,Draft,Eastside Branch
2026-01-11 06:02:01.310532,Mustafa Akter 416,Mustafa Akter 416,0,2025-08-28,212.43,2026-01-11 06:02:01.310532,ACC-SINV-2026-00284,2025-07-29,Draft,Eastside Branch
2026-01-11 06:02:01.544519,Mustafa Akter 416,Mustafa Akter 416,0,2025-09-22,25794.59,2026-01-11 06:02:01.544519,ACC-SINV-2026-00285,2025-08-21,Draft,Eastside Branch
2026-01-11 06:02:01.783663,Mustafa Akter 416,Mustafa Akter 416,0,2025-11-29,1986.92,2026-01-11 06:02:01.783663,ACC-SINV-2026-00286,2025-10-29,Draft,Eastside Branch
2026-01-11 06:02:02.014813,Samira Sheikh 954,Samira Sheikh 954,0,2023-11-20,10229.46,2026-01-11 06:02:02.014813,ACC-SINV-2026-00287,2023-10-14,Draft,Downtown Branch
2026-01-11 06:02:02.271321,Samira Sheikh 954,Samira Sheikh 954,0,2023-12-14,7843.06,2026-01-11 06:02:02.271321,ACC-SINV-2026-00288,2023-11-14,Draft,Downtown Branch
2026-01-11 06:02:02.505799,Samira Sheikh 954,Samira Sheikh 954,0,2024-02-05,113.84,2026-01-11 06:02:02.505799,ACC-SINV-2026-00289,2023-12-22,Draft,Downtown Branch
2026-01-11 06:02:02.735658,Samira Sheikh 954,Samira Sheikh 954,0,2024-03-05,652.85,2026-01-11 06:02:02.735658,ACC-SINV-2026-00290,2024-01-29,Draft,Downtown Branch
2026-01-11 06:02:02.963625,Samira Sheikh 954,Samira Sheikh 954,0,2024-04-06,1696.0,2026-01-11 06:02:02.963625,ACC-SINV-2026-00291,2024-02-19,Draft,Downtown Branch
2026-01-11 06:02:03.197921,Samira Sheikh 954,Samira Sheikh 954,0,2024-04-14,7113.36,2026-01-11 06:02:03.197921,ACC-SINV-2026-00292,2024-03-15,Draft,Downtown Branch
2026-01-11 06:02:03.828697,Samira Sheikh 954,Samira Sheikh 954,0,2024-05-24,34449.05,2026-01-11 06:02:03.828697,ACC-SINV-2026-00293,2024-04-15,Draft,Downtown Branch
2026-01-11 06:02:04.107465,Samira Sheikh 954,Samira Sheikh 954,0,2024-07-24,950.2,2026-01-11 06:02:04.107465,ACC-SINV-2026-00294,2024-05-27,Draft,Downtown Branch
2026-01-11 06:02:04.343480,Samira Sheikh 954,Samira Sheikh 954,0,2024-08-10,876.46,2026-01-11 06:02:04.343480,ACC-SINV-2026-00295,2024-07-02,Draft,Downtown Branch
2026-01-11 06:02:04.643680,Samira Sheikh 954,Samira Sheikh 954,0,2024-09-26,7705.35,2026-01-11 06:02:04.643680,ACC-SINV-2026-00296,2024-08-10,Draft,Downtown Branch
2026-01-11 06:02:04.899464,Samira Sheikh 954,Samira Sheikh 954,0,2024-10-25,168.57,2026-01-11 06:02:04.899464,ACC-SINV-2026-00297,2024-09-14,Draft,Downtown Branch
2026-01-11 06:02:05.139394,Samira Sheikh 954,Samira Sheikh 954,0,2024-12-07,89463.76,2026-01-11 06:02:05.139394,ACC-SINV-2026-00298,2024-10-18,Draft,Downtown Branch
2026-01-11 06:02:05.425128,Samira Sheikh 954,Samira Sheikh 954,0,2025-01-09,236.38,2026-01-11 06:02:05.425128,ACC-SINV-2026-00299,2024-11-30,Draft,Downtown Branch
2026-01-11 06:02:05.779392,Samira Sheikh 954,Samira Sheikh 954,0,2025-03-11,5830.8,2026-01-11 06:02:05.779392,ACC-SINV-2026-00300,2025-01-10,Draft,Downtown Branch
2026-01-11 06:02:06.052146,Samira Sheikh 954,Samira Sheikh 954,0,2025-04-02,693.38,2026-01-11 06:02:06.052146,ACC-SINV-2026-00301,2025-02-09,Draft,Downtown Branch
2026-01-11 06:02:06.334533,Samira Sheikh 954,Samira Sheikh 954,0,2025-04-25,234.89,2026-01-11 06:02:06.334533,ACC-SINV-2026-00302,2025-02-27,Draft,Downtown Branch
2026-01-11 06:02:06.931692,Samira Sheikh 954,Samira Sheikh 954,0,2025-04-20,837.02,2026-01-11 06:02:06.931692,ACC-SINV-2026-00303,2025-03-15,Draft,Downtown Branch
2026-01-11 06:02:07.177880,Rania Mirza 441,Rania Mirza 441,0,2024-09-21,13701.55,2026-01-11 06:02:07.177880,ACC-SINV-2026-00304,2024-08-18,Draft,Mall Branch
2026-01-11 06:02:07.429217,Rania Mirza 441,Rania Mirza 441,0,2024-10-20,681.34,2026-01-11 06:02:07.429217,ACC-SINV-2026-00305,2024-09-06,Draft,Mall Branch
2026-01-11 06:02:07.665272,Rania Mirza 441,Rania Mirza 441,0,2024-12-14,34315.71,2026-01-11 06:02:07.665272,ACC-SINV-2026-00306,2024-10-17,Draft,Mall Branch
2026-01-11 06:02:07.913158,Rania Mirza 441,Rania Mirza 441,0,2025-01-02,287.07,2026-01-11 06:02:07.913158,ACC-SINV-2026-00307,2024-11-04,Draft,Mall Branch
2026-01-11 06:02:08.217309,Rania Mirza 441,Rania Mirza 441,0,2025-01-18,17863.78,2026-01-11 06:02:08.217309,ACC-SINV-2026-00308,2024-11-26,Draft,Mall Branch
2026-01-11 06:02:08.470971,Rania Mirza 441,Rania Mirza 441,0,2025-02-04,62798.69,2026-01-11 06:02:08.470971,ACC-SINV-2026-00309,2024-12-15,Draft,Mall Branch
2026-01-11 06:02:08.711259,Rania Mirza 441,Rania Mirza 441,0,2025-02-19,4677.25,2026-01-11 06:02:08.711259,ACC-SINV-2026-00310,2024-12-30,Draft,Mall Branch
2026-01-11 06:02:09.027190,Rania Mirza 441,Rania Mirza 441,0,2025-03-24,314.84,2026-01-11 06:02:09.027190,ACC-SINV-2026-00311,2025-02-11,Draft,Mall Branch
2026-01-11 06:02:09.281013,Rania Mirza 441,Rania Mirza 441,0,2025-05-05,35851.62,2026-01-11 06:02:09.281013,ACC-SINV-2026-00312,2025-03-15,Draft,Mall Branch
2026-01-11 06:02:09.940217,Rania Mirza 441,Rania Mirza 441,0,2025-05-30,13795.58,2026-01-11 06:02:09.940217,ACC-SINV-2026-00313,2025-04-11,Draft,Mall Branch
2026-01-11 06:02:10.130633,Rania Mirza 441,Rania Mirza 441,0,2025-06-10,89.15,2026-01-11 06:02:10.130633,ACC-SINV-2026-00314,2025-05-01,Draft,Mall Branch
2026-01-11 06:02:10.313229,Rania Mirza 441,Rania Mirza 441,0,2025-07-22,7930.75,2026-01-11 06:02:10.313229,ACC-SINV-2026-00315,2025-06-03,Draft,Mall Branch
2026-01-11 06:02:10.500227,Rania Mirza 441,Rania Mirza 441,0,2025-09-01,98768.56,2026-01-11 06:02:10.500227,ACC-SINV-2026-00316,2025-07-17,Draft,Mall Branch
2026-01-11 06:02:10.684462,Rania Mirza 441,Rania Mirza 441,0,2025-09-24,12755.62,2026-01-11 06:02:10.684462,ACC-SINV-2026-00317,2025-08-17,Draft,Mall Branch
2026-01-11 06:02:10.870963,Rania Mirza 441,Rania Mirza 441,0,2025-12-23,473.76,2026-01-11 06:02:10.870963,ACC-SINV-2026-00318,2025-10-27,Draft,Mall Branch
2026-01-11 06:02:11.059993,Rania Mirza 441,Rania Mirza 441,0,2026-02-24,813.92,2026-01-11 06:02:11.059993,ACC-SINV-2026-00319,2025-12-31,Draft,Mall Branch
2026-01-11 06:02:11.245287,Jamal Sheikh 205,Jamal Sheikh 205,0,2023-10-10,315.94,2026-01-11 06:02:11.245287,ACC-SINV-2026-00320,2023-08-26,Draft,Westend Branch
2026-01-11 06:02:11.431641,Jamal Sheikh 205,Jamal Sheikh 205,0,2023-11-10,61838.03,2026-01-11 06:02:11.431641,ACC-SINV-2026-00321,2023-09-20,Draft,Westend Branch
2026-01-11 06:02:11.612013,Jamal Sheikh 205,Jamal Sheikh 205,0,2023-12-02,735.9,2026-01-11 06:02:11.612013,ACC-SINV-2026-00322,2023-10-08,Draft,Westend Branch
2026-01-11 06:02:12.158620,Jamal Sheikh 205,Jamal Sheikh 205,0,2023-11-28,28049.23,2026-01-11 06:02:12.158620,ACC-SINV-2026-00323,2023-10-28,Draft,Westend Branch
2026-01-11 06:02:12.346946,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-01-19,82.88,2026-01-11 06:02:12.346946,ACC-SINV-2026-00324,2023-11-26,Draft,Westend Branch
2026-01-11 06:02:12.530893,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-01-26,682.94,2026-01-11 06:02:12.530893,ACC-SINV-2026-00325,2023-12-11,Draft,Westend Branch
2026-01-11 06:02:12.712782,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-02-14,1331.89,2026-01-11 06:02:12.712782,ACC-SINV-2026-00326,2024-01-07,Draft,Westend Branch
2026-01-11 06:02:12.898593,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-04-10,27243.28,2026-01-11 06:02:12.898593,ACC-SINV-2026-00327,2024-02-21,Draft,Westend Branch
2026-01-11 06:02:13.082690,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-04-11,375.93,2026-01-11 06:02:13.082690,ACC-SINV-2026-00328,2024-03-12,Draft,Westend Branch
2026-01-11 06:02:13.263004,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-05-28,93925.86,2026-01-11 06:02:13.263004,ACC-SINV-2026-00329,2024-04-03,Draft,Westend Branch
2026-01-11 06:02:13.446688,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-06-12,9651.24,2026-01-11 06:02:13.446688,ACC-SINV-2026-00330,2024-05-02,Draft,Westend Branch
2026-01-11 06:02:13.630256,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-07-29,956.81,2026-01-11 06:02:13.630256,ACC-SINV-2026-00331,2024-06-09,Draft,Westend Branch
2026-01-11 06:02:13.811318,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-08-02,1075.19,2026-01-11 06:02:13.811318,ACC-SINV-2026-00332,2024-07-01,Draft,Westend Branch
2026-01-11 06:02:14.340788,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-09-07,164.46,2026-01-11 06:02:14.340788,ACC-SINV-2026-00333,2024-07-18,Draft,Westend Branch
2026-01-11 06:02:14.524049,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-09-28,773.2,2026-01-11 06:02:14.524049,ACC-SINV-2026-00334,2024-08-23,Draft,Westend Branch
2026-01-11 06:02:14.706469,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-10-28,878.11,2026-01-11 06:02:14.706469,ACC-SINV-2026-00335,2024-09-12,Draft,Westend Branch
2026-01-11 06:02:14.886956,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-11-03,909.48,2026-01-11 06:02:14.886956,ACC-SINV-2026-00336,2024-10-04,Draft,Westend Branch
2026-01-11 06:02:15.066883,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-12-26,188.39,2026-01-11 06:02:15.066883,ACC-SINV-2026-00337,2024-10-28,Draft,Westend Branch
2026-01-11 06:02:15.251493,Jamal Sheikh 205,Jamal Sheikh 205,0,2024-12-22,16999.93,2026-01-11 06:02:15.251493,ACC-SINV-2026-00338,2024-11-12,Draft,Westend Branch
2026-01-11 06:02:15.439213,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-01-21,45850.1,2026-01-11 06:02:15.439213,ACC-SINV-2026-00339,2024-11-30,Draft,Westend Branch
2026-01-11 06:02:15.624954,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-02-21,90020.28,2026-01-11 06:02:15.624954,ACC-SINV-2026-00340,2024-12-28,Draft,Westend Branch
2026-01-11 06:02:15.813090,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-04-06,700.56,2026-01-11 06:02:15.813090,ACC-SINV-2026-00341,2025-02-10,Draft,Westend Branch
2026-01-11 06:02:16.023522,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-04-03,275.29,2026-01-11 06:02:16.023522,ACC-SINV-2026-00342,2025-03-02,Draft,Westend Branch
2026-01-11 06:02:16.592076,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-05-17,27297.91,2026-01-11 06:02:16.592076,ACC-SINV-2026-00343,2025-03-27,Draft,Westend Branch
2026-01-11 06:02:16.775945,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-06-27,591.77,2026-01-11 06:02:16.775945,ACC-SINV-2026-00344,2025-04-29,Draft,Westend Branch
2026-01-11 06:02:16.956824,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-07-11,259.38,2026-01-11 06:02:16.956824,ACC-SINV-2026-00345,2025-05-15,Draft,Westend Branch
2026-01-11 06:02:17.139233,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-07-21,430.82,2026-01-11 06:02:17.139233,ACC-SINV-2026-00346,2025-06-10,Draft,Westend Branch
2026-01-11 06:02:17.321733,Jamal Sheikh 205,Jamal Sheikh 205,0,2025-08-26,1085.74,2026-01-11 06:02:17.321733,ACC-SINV-2026-00347,2025-07-24,Draft,Westend Branch
2026-01-11 06:02:17.504200,Faisal Shah 101,Faisal Shah 101,0,2025-04-04,16484.14,2026-01-11 06:02:17.504200,ACC-SINV-2026-00348,2025-02-12,Draft,Mall Branch
2026-01-11 06:02:17.691934,Faisal Shah 101,Faisal Shah 101,0,2025-05-03,634.71,2026-01-11 06:02:17.691934,ACC-SINV-2026-00349,2025-03-11,Draft,Mall Branch
