created_date,description,email,first_name,last_name,lead_source,modified_date,phone,sf_contact_id
2026-01-11T03:29:12.000+0000,"Segment: active, Branch: Southgate Branch",rahman.uddin71@gmail.com,Rahman,Uddin 507,Existing Customer,2026-01-11T03:29:12.000+0000,8801701969043.0,003g5000002EeiuAAC
2026-01-11T03:29:13.000+0000,"Segment: active, Branch: Industrial Branch",rania.begum55@gmail.com,Rania,Begum 467,Existing Customer,2026-01-11T03:29:13.000+0000,8801648195845.0,003g5000002EeivAAC
2026-01-11T03:29:18.000+0000,"Segment: active, Branch: Airport Branch",rashid.rahman75@gmail.com,Rashid,Rahman 279,Existing Customer,2026-01-11T03:29:18.000+0000,8801321704579.0,003g5000002EeiwAAC
2026-01-11T03:29:34.000+0000,"Segment: at_risk, Branch: University Branch",yusuf.malik51@gmail.com,Yusuf,Malik 160,Existing Customer,2026-01-11T03:29:34.000+0000,8801569809055.0,003g5000002Eem2AAC
2026-01-11T03:28:55.000+0000,"Segment: churned, Branch: Downtown Branch",mohammad.sheikh14@gmail.com,Mohammad,Sheikh 897,Existing Customer,2026-01-11T03:28:55.000+0000,8801900374926.0,003g5000002EeneAAC
2026-01-11T03:28:56.000+0000,"Segment: churned, Branch: Mall Branch",mustafa.ahmed99@gmail.com,Mustafa,Ahmed 724,Existing Customer,2026-01-11T03:28:56.000+0000,8801551196428.0,003g5000002EenfAAC
2026-01-11T03:29:03.000+0000,"Segment: active, Branch: Mall Branch",noura.islam45@gmail.com,Noura,Islam 668,Existing Customer,2026-01-11T03:29:03.000+0000,8801405860884.0,003g5000002EengAAC
2026-01-11T03:29:06.000+0000,"Segment: active, Branch: Downtown Branch",omar.rahman94@gmail.com,Omar,Rahman 631,Existing Customer,2026-01-11T03:29:06.000+0000,8801637520182.0,003g5000002EenhAAC
2026-01-11T03:27:58.000+0000,"Segment: at_risk, Branch: Downtown Branch",adnan.uddin37@gmail.com,Adnan,Uddin 544,Existing Customer,2026-01-11T03:27:58.000+0000,8801692318799.0,003g5000002EepHAAS
2026-01-11T03:28:50.000+0000,"Segment: active, Branch: Downtown Branch",mariam.islam54@gmail.com,Mariam,Islam 997,Existing Customer,2026-01-11T03:28:50.000+0000,8801790484033.0,003g5000002EepIAAS
2026-01-11T03:28:51.000+0000,"Segment: at_risk, Branch: Airport Branch",mariam.rahman58@gmail.com,Mariam,Rahman 270,Existing Customer,2026-01-11T03:28:51.000+0000,8801317223243.0,003g5000002EesUAAS
2026-01-11T03:28:53.000+0000,"Segment: active, Branch: Suburban Branch",mohammad.ahmed5@gmail.com,Mohammad,Ahmed 991,Existing Customer,2026-01-11T03:28:53.000+0000,8801863267858.0,003g5000002EesVAAS
2026-01-11T03:28:53.000+0000,"Segment: active, Branch: University Branch",mohammad.chowdhury64@gmail.com,Mohammad,Chowdhury 936,Existing Customer,2026-01-11T03:28:53.000+0000,8801597353603.0,003g5000002EesWAAS
2026-01-11T03:28:58.000+0000,"Segment: active, Branch: Downtown Branch",mustafa.khan68@gmail.com,Mustafa,Khan 417,Existing Customer,2026-01-11T03:28:58.000+0000,8801697707339.0,003g5000002EesXAAS
2026-01-11T03:29:14.000+0000,"Segment: churned, Branch: Westend Branch",rania.hossain47@gmail.com,Rania,Hossain 802,Existing Customer,2026-01-11T03:29:14.000+0000,8801439951225.0,003g5000002EesYAAS
2026-01-11T03:28:04.000+0000,"Segment: active, Branch: Industrial Branch",amina.ahmed71@gmail.com,Amina,Ahmed 570,Existing Customer,2026-01-11T03:28:04.000+0000,8801743925106.0,003g5000002Eeu6AAC
2026-01-11T03:28:19.000+0000,"Segment: at_risk, Branch: Airport Branch",faisal.mirza57@gmail.com,Faisal,Mirza 921,Existing Customer,2026-01-11T03:28:19.000+0000,8801693230248.0,003g5000002Eeu7AAC
2026-01-11T03:29:37.000+0000,"Segment: at_risk, Branch: Mall Branch",zainab.chowdhury54@gmail.com,Zainab,Chowdhury 147,Existing Customer,2026-01-11T03:29:37.000+0000,8801506684339.0,003g5000002EeviAAC
2026-01-11T03:27:56.000+0000,"Segment: active, Branch: Suburban Branch",adnan.ahmed31@gmail.com,Adnan,Ahmed 831,Existing Customer,2026-01-11T03:27:56.000+0000,8801488807028.0,003g5000002EeyvAAC
2026-01-11T03:28:05.000+0000,"Segment: active, Branch: Uptown Branch",amina.chowdhury62@gmail.com,Amina,Chowdhury 571,Existing Customer,2026-01-11T03:28:05.000+0000,8801804088204.0,003g5000002EeywAAC
2026-01-11T03:28:22.000+0000,"Segment: active, Branch: University Branch",fatima.islam5@gmail.com,Fatima,Islam 532,Existing Customer,2026-01-11T03:28:22.000+0000,8801502262325.0,003g5000002EeyxAAC
2026-01-11T03:28:42.000+0000,"Segment: at_risk, Branch: Airport Branch",khalid.shah7@gmail.com,Khalid,Shah 364,Existing Customer,2026-01-11T03:28:42.000+0000,8801767958142.0,003g5000002EeyyAAC
2026-01-11T03:29:10.000+0000,"Segment: at_risk, Branch: Eastside Branch",rahman.hassan67@gmail.com,Rahman,Hassan 329,Existing Customer,2026-01-11T03:29:10.000+0000,8801404237753.0,003g5000002EeyzAAC
2026-01-11T03:27:56.000+0000,"Segment: active, Branch: Suburban Branch",adnan.begum26@gmail.com,Adnan,Begum 595,Existing Customer,2026-01-11T03:27:56.000+0000,8801895608610.0,003g5000002Ef0XAAS
2026-01-11T03:28:13.000+0000,"Segment: active, Branch: Westend Branch",bilal.hassan25@gmail.com,Bilal,Hassan 289,Existing Customer,2026-01-11T03:28:13.000+0000,8801513219625.0,003g5000002Ef0YAAS
2026-01-11T03:28:32.000+0000,"Segment: active, Branch: Southgate Branch",ibrahim.mirza13@gmail.com,Ibrahim,Mirza 829,Existing Customer,2026-01-11T03:28:32.000+0000,8801652436628.0,003g5000002Ef0ZAAS
2026-01-11T03:28:34.000+0000,"Segment: churned, Branch: Industrial Branch",jamal.akter38@gmail.com,Jamal,Akter 708,Existing Customer,2026-01-11T03:28:34.000+0000,8801986140951.0,003g5000002Ef0aAAC
2026-01-11T03:27:57.000+0000,"Segment: at_risk, Branch: Southgate Branch",adnan.malik70@gmail.com,Adnan,Malik 605,Existing Customer,2026-01-11T03:27:57.000+0000,8801614996990.0,003g5000002Ef29AAC
2026-01-11T03:27:57.000+0000,"Segment: active, Branch: Downtown Branch",adnan.sheikh96@gmail.com,Adnan,Sheikh 861,Existing Customer,2026-01-11T03:27:57.000+0000,8801871195971.0,003g5000002Ef2AAAS
2026-01-11T03:28:23.000+0000,"Segment: active, Branch: Westend Branch",hana.ali43@gmail.com,Hana,Ali 279,Existing Customer,2026-01-11T03:28:23.000+0000,8801958537968.0,003g5000002Ef2BAAS
2026-01-11T03:28:32.000+0000,"Segment: active, Branch: Westend Branch",ibrahim.begum21@gmail.com,Ibrahim,Begum 913,Existing Customer,2026-01-11T03:28:32.000+0000,8801649391345.0,003g5000002Ef2CAAS
2026-01-11T03:28:49.000+0000,"Segment: active, Branch: Eastside Branch",leena.siddiqui65@gmail.com,Leena,Siddiqui 727,Existing Customer,2026-01-11T03:28:49.000+0000,8801458967967.0,003g5000002Ef2DAAS
2026-01-11T03:28:59.000+0000,"Segment: active, Branch: Downtown Branch",mustafa.malik20@gmail.com,Mustafa,Malik 640,Existing Customer,2026-01-11T03:28:59.000+0000,8801719226254.0,003g5000002Ef2EAAS
2026-01-11T03:29:01.000+0000,"Segment: active, Branch: Airport Branch",nadia.mirza34@gmail.com,Nadia,Mirza 508,Existing Customer,2026-01-11T03:29:01.000+0000,8801488399604.0,003g5000002Ef2FAAS
2026-01-11T03:29:02.000+0000,"Segment: at_risk, Branch: Westend Branch",noura.chowdhury79@gmail.com,Noura,Chowdhury 975,Existing Customer,2026-01-11T03:29:02.000+0000,8801323445620.0,003g5000002Ef2GAAS
2026-01-11T03:27:57.000+0000,"Segment: active, Branch: Eastside Branch",adnan.malik79@gmail.com,Adnan,Malik 886,Existing Customer,2026-01-11T03:27:57.000+0000,8801468658690.0,003g5000002Ef3lAAC
2026-01-11T03:27:58.000+0000,"Segment: churned, Branch: Suburban Branch",ahmed.ahmed34@gmail.com,Ahmed,Ahmed 576,Existing Customer,2026-01-11T03:27:58.000+0000,8801732027260.0,003g5000002Ef3mAAC
2026-01-11T03:27:59.000+0000,"Segment: active, Branch: Westend Branch",ahmed.islam74@gmail.com,Ahmed,Islam 701,Existing Customer,2026-01-11T03:27:59.000+0000,8801473210927.0,003g5000002Ef3nAAC
2026-01-11T03:28:00.000+0000,"Segment: active, Branch: Industrial Branch",ahmed.mirza21@gmail.com,Ahmed,Mirza 682,Existing Customer,2026-01-11T03:28:00.000+0000,8801324984436.0,003g5000002Ef3oAAC
2026-01-11T03:28:02.000+0000,"Segment: active, Branch: Westend Branch",ali.ali91@gmail.com,Ali,Ali 673,Existing Customer,2026-01-11T03:28:02.000+0000,8801944611518.0,003g5000002Ef3pAAC
2026-01-11T03:29:11.000+0000,"Segment: active, Branch: Westend Branch",rahman.rahman75@gmail.com,Rahman,Rahman 334,Existing Customer,2026-01-11T03:29:11.000+0000,8801301448642.0,003g5000002Ef3qAAC
2026-01-11T03:29:20.000+0000,"Segment: at_risk, Branch: University Branch",salma.ali86@gmail.com,Salma,Ali 165,Existing Customer,2026-01-11T03:29:20.000+0000,8801988030321.0,003g5000002Ef3rAAC
2026-01-11T03:27:57.000+0000,"Segment: active, Branch: Eastside Branch",adnan.rahman84@gmail.com,Adnan,Rahman 879,Existing Customer,2026-01-11T03:27:57.000+0000,8801533121156.0,003g5000002Ef5NAAS
2026-01-11T03:28:01.000+0000,"Segment: active, Branch: Suburban Branch",ali.ahmed9@gmail.com,Ali,Ahmed 692,Existing Customer,2026-01-11T03:28:01.000+0000,8801309394702.0,003g5000002Ef5OAAS
2026-01-11T03:28:11.000+0000,"Segment: active, Branch: Mall Branch",ayesha.mirza33@gmail.com,Ayesha,Mirza 102,Existing Customer,2026-01-11T03:28:11.000+0000,8801539521092.0,003g5000002Ef5PAAS
2026-01-11T03:29:39.000+0000,"Segment: churned, Branch: Suburban Branch",zainab.mirza82@gmail.com,Zainab,Mirza 630,Existing Customer,2026-01-11T03:29:39.000+0000,8801902631584.0,003g5000002Ef5QAAS
2026-01-11T03:27:57.000+0000,"Segment: at_risk, Branch: Eastside Branch",adnan.siddiqui45@gmail.com,Adnan,Siddiqui 930,Existing Customer,2026-01-11T03:27:57.000+0000,8801495991882.0,003g5000002Ef6zAAC
2026-01-11T03:28:17.000+0000,"Segment: active, Branch: Industrial Branch",faisal.ahmed30@gmail.com,Faisal,Ahmed 372,Existing Customer,2026-01-11T03:28:17.000+0000,8801925586269.0,003g5000002Ef70AAC
2026-01-11T03:27:58.000+0000,"Segment: active, Branch: Downtown Branch",adnan.uddin6@gmail.com,Adnan,Uddin 872,Existing Customer,2026-01-11T03:27:58.000+0000,8801743708657.0,003g5000002Ef8bAAC
2026-01-11T03:28:03.000+0000,"Segment: active, Branch: Airport Branch",ali.shah46@gmail.com,Ali,Shah 712,Existing Customer,2026-01-11T03:28:03.000+0000,8801798105905.0,003g5000002Ef8cAAC
2026-01-11T03:28:24.000+0000,"Segment: at_risk, Branch: Eastside Branch",hana.khan98@gmail.com,Hana,Khan 209,Existing Customer,2026-01-11T03:28:24.000+0000,8801961166578.0,003g5000002Ef8dAAC
2026-01-11T03:27:58.000+0000,"Segment: active, Branch: Westend Branch",ahmed.ahmed53@gmail.com,Ahmed,Ahmed 194,Existing Customer,2026-01-11T03:27:58.000+0000,8801663104729.0,003g5000002EfADAA0
2026-01-11T03:29:09.000+0000,"Segment: active, Branch: Eastside Branch",rahman.begum96@gmail.com,Rahman,Begum 805,Existing Customer,2026-01-11T03:29:09.000+0000,8801650091220.0,003g5000002EfAEAA0
2026-01-11T03:27:59.000+0000,"Segment: active, Branch: Mall Branch",ahmed.akter5@gmail.com,Ahmed,Akter 210,Existing Customer,2026-01-11T03:27:59.000+0000,8801537029692.0,003g5000002EfBpAAK
2026-01-11T03:28:12.000+0000,"Segment: active, Branch: Southgate Branch",ayesha.shah61@gmail.com,Ayesha,Shah 587,Existing Customer,2026-01-11T03:28:12.000+0000,8801564614677.0,003g5000002EfBqAAK
2026-01-11T03:28:27.000+0000,"Segment: active, Branch: Uptown Branch",hassan.ali50@gmail.com,Hassan,Ali 995,Existing Customer,2026-01-11T03:28:27.000+0000,8801402998384.0,003g5000002EfBrAAK
2026-01-11T03:28:43.000+0000,"Segment: active, Branch: Southgate Branch",khalid.uddin6@gmail.com,Khalid,Uddin 972,Existing Customer,2026-01-11T03:28:43.000+0000,8801376392218.0,003g5000002EfBsAAK
2026-01-11T03:27:59.000+0000,"Segment: at_risk, Branch: Southgate Branch",ahmed.hassan2@gmail.com,Ahmed,Hassan 346,Existing Customer,2026-01-11T03:27:59.000+0000,8801513112488.0,003g5000002EfDRAA0
2026-01-11T03:28:04.000+0000,"Segment: active, Branch: Eastside Branch",amina.ahmed99@gmail.com,Amina,Ahmed 220,Existing Customer,2026-01-11T03:28:04.000+0000,8801313095314.0,003g5000002EfDSAA0
2026-01-11T03:28:26.000+0000,"Segment: at_risk, Branch: Suburban Branch",hana.uddin98@gmail.com,Hana,Uddin 713,Existing Customer,2026-01-11T03:28:26.000+0000,8801678469471.0,003g5000002EfDTAA0
2026-01-11T03:28:26.000+0000,"Segment: active, Branch: University Branch",hassan.ahmed49@gmail.com,Hassan,Ahmed 670,Existing Customer,2026-01-11T03:28:26.000+0000,8801504321223.0,003g5000002EfDUAA0
2026-01-11T03:28:29.000+0000,"Segment: churned, Branch: Southgate Branch",hassan.rahman90@gmail.com,Hassan,Rahman 405,Existing Customer,2026-01-11T03:28:29.000+0000,8801778367358.0,003g5000002EfDVAA0
2026-01-11T03:27:59.000+0000,"Segment: active, Branch: Industrial Branch",ahmed.hossain53@gmail.com,Ahmed,Hossain 236,Existing Customer,2026-01-11T03:27:59.000+0000,8801898919967.0,003g5000002EfF3AAK
2026-01-11T03:27:59.000+0000,"Segment: at_risk, Branch: Industrial Branch",ahmed.hossain63@gmail.com,Ahmed,Hossain 591,Existing Customer,2026-01-11T03:27:59.000+0000,8801538781555.0,003g5000002EfF4AAK
2026-01-11T03:28:00.000+0000,"Segment: active, Branch: Westend Branch",ahmed.islam39@gmail.com,Ahmed,Islam 715,Existing Customer,2026-01-11T03:28:00.000+0000,8801351698831.0,003g5000002EfGfAAK
2026-01-11T03:28:00.000+0000,"Segment: active, Branch: Eastside Branch",ahmed.khan97@gmail.com,Ahmed,Khan 226,Existing Customer,2026-01-11T03:28:00.000+0000,8801658635576.0,003g5000002EfIHAA0
2026-01-11T03:28:00.000+0000,"Segment: at_risk, Branch: Industrial Branch",ahmed.mirza45@gmail.com,Ahmed,Mirza 273,Existing Customer,2026-01-11T03:28:00.000+0000,8801567383550.0,003g5000002EfJtAAK
2026-01-11T03:28:00.000+0000,"Segment: active, Branch: Uptown Branch",ahmed.rahman80@gmail.com,Ahmed,Rahman 293,Existing Customer,2026-01-11T03:28:00.000+0000,8801566148903.0,003g5000002EfLVAA0
2026-01-11T03:28:01.000+0000,"Segment: active, Branch: Mall Branch",ahmed.shah64@gmail.com,Ahmed,Shah 649,Existing Customer,2026-01-11T03:28:01.000+0000,8801802211680.0,003g5000002EfN7AAK
2026-01-11T03:28:03.000+0000,"Segment: active, Branch: Westend Branch",ali.sheikh90@gmail.com,Ali,Sheikh 213,Existing Customer,2026-01-11T03:28:03.000+0000,8801357167435.0,003g5000002EfN8AAK
2026-01-11T03:28:07.000+0000,"Segment: at_risk, Branch: Mall Branch",amina.rahman53@gmail.com,Amina,Rahman 191,Existing Customer,2026-01-11T03:28:07.000+0000,8801953645128.0,003g5000002EfN9AAK
2026-01-11T03:28:14.000+0000,"Segment: active, Branch: Southgate Branch",dalia.ahmed40@gmail.com,Dalia,Ahmed 603,Existing Customer,2026-01-11T03:28:14.000+0000,8801906470244.0,003g5000002EfNAAA0
2026-01-11T03:28:16.000+0000,"Segment: at_risk, Branch: Eastside Branch",dalia.siddiqui71@gmail.com,Dalia,Siddiqui 366,Existing Customer,2026-01-11T03:28:16.000+0000,8801678741202.0,003g5000002EfNBAA0
2026-01-11T03:28:01.000+0000,"Segment: active, Branch: Westend Branch",ahmed.shah99@gmail.com,Ahmed,Shah 989,Existing Customer,2026-01-11T03:28:01.000+0000,8801788531695.0,003g5000002EfOjAAK
2026-01-11T03:28:06.000+0000,"Segment: churned, Branch: Southgate Branch",amina.islam81@gmail.com,Amina,Islam 308,Existing Customer,2026-01-11T03:28:06.000+0000,8801760857101.0,003g5000002EfOkAAK
2026-01-11T03:28:01.000+0000,"Segment: at_risk, Branch: Southgate Branch",ali.akter2@gmail.com,Ali,Akter 943,Existing Customer,2026-01-11T03:28:01.000+0000,8801830851007.0,003g5000002EfQLAA0
2026-01-11T03:28:04.000+0000,"Segment: at_risk, Branch: University Branch",amina.akter3@gmail.com,Amina,Akter 582,Existing Customer,2026-01-11T03:28:04.000+0000,8801620074226.0,003g5000002EfQMAA0
2026-01-11T03:28:08.000+0000,"Segment: active, Branch: Industrial Branch",amina.siddiqui61@gmail.com,Amina,Siddiqui 852,Existing Customer,2026-01-11T03:28:08.000+0000,8801303368372.0,003g5000002EfQNAA0
2026-01-11T03:28:01.000+0000,"Segment: churned, Branch: University Branch",ali.ali69@gmail.com,Ali,Ali 113,Existing Customer,2026-01-11T03:28:01.000+0000,8801737833780.0,003g5000002EfRxAAK
2026-01-11T03:28:13.000+0000,"Segment: active, Branch: Uptown Branch",ayesha.siddiqui43@gmail.com,Ayesha,Siddiqui 845,Existing Customer,2026-01-11T03:28:13.000+0000,8801791128658.0,003g5000002EfRyAAK
2026-01-11T03:29:29.000+0000,"Segment: active, Branch: Eastside Branch",sara.mirza64@gmail.com,Sara,Mirza 416,Existing Customer,2026-01-11T03:29:29.000+0000,8801855761528.0,003g5000002EfRzAAK
2026-01-11T03:29:31.000+0000,"Segment: at_risk, Branch: Suburban Branch",tariq.akter45@gmail.com,Tariq,Akter 685,Existing Customer,2026-01-11T03:29:31.000+0000,8801713479637.0,003g5000002EfS0AAK
2026-01-11T03:28:02.000+0000,"Segment: active, Branch: Industrial Branch",ali.hassan91@gmail.com,Ali,Hassan 648,Existing Customer,2026-01-11T03:28:02.000+0000,8801874506063.0,003g5000002EfTZAA0
2026-01-11T03:28:12.000+0000,"Segment: at_risk, Branch: Suburban Branch",ayesha.shah98@gmail.com,Ayesha,Shah 420,Existing Customer,2026-01-11T03:28:12.000+0000,8801889706902.0,003g5000002EfTaAAK
2026-01-11T03:28:02.000+0000,"Segment: active, Branch: Westend Branch",ali.hassan52@gmail.com,Ali,Hassan 673,Existing Customer,2026-01-11T03:28:02.000+0000,8801501725231.0,003g5000002EfVBAA0
2026-01-11T03:29:26.000+0000,"Segment: active, Branch: Westend Branch",samira.uddin59@gmail.com,Samira,Uddin 118,Existing Customer,2026-01-11T03:29:26.000+0000,8801672010888.0,003g5000002EfVCAA0
2026-01-11T03:29:32.000+0000,"Segment: active, Branch: University Branch",yusuf.akter29@gmail.com,Yusuf,Akter 415,Existing Customer,2026-01-11T03:29:32.000+0000,8801624859780.0,003g5000002EfVDAA0
2026-01-11T03:29:39.000+0000,"Segment: active, Branch: Southgate Branch",zainab.sheikh68@gmail.com,Zainab,Sheikh 389,Existing Customer,2026-01-11T03:29:39.000+0000,8801317148184.0,003g5000002EfVEAA0
2026-01-11T03:28:02.000+0000,"Segment: active, Branch: Airport Branch",ali.hassan99@gmail.com,Ali,Hassan 732,Existing Customer,2026-01-11T03:28:02.000+0000,8801955048027.0,003g5000002EfWnAAK
2026-01-11T03:28:05.000+0000,"Segment: active, Branch: Eastside Branch",amina.islam17@gmail.com,Amina,Islam 228,Existing Customer,2026-01-11T03:28:05.000+0000,8801982620531.0,003g5000002EfWoAAK
