creation,customer_group,customer_name,customer_type,email_id,gender,mobile_no,modified,name,territory,website
2026-01-11 05:57:59.268801,Individual,Ahmed Hassan 346,Individual,ahmed.hassan2@gmail.com,Female,+8801513112488,2026-01-11 05:58:00.178774,Ahmed Hassan 346,Southgate Branch,at_risk
2026-01-11 06:00:45.453974,Individual,Ahmed Hossain 236,Individual,ahmed.hossain53@gmail.com,Male,+8801898919967,2026-01-11 06:00:45.828495,Ahmed Hossain 236,Industrial Branch,active
2026-01-11 05:55:53.442943,Individual,Ahmed Hossain 591,Individual,ahmed.hossain63@gmail.com,Female,+8801538781555,2026-01-11 05:55:54.334821,Ahmed Hossain 591,Industrial Branch,at_risk
2026-01-11 05:58:39.640905,Individual,Ahmed Islam 701,Individual,ahmed.islam74@gmail.com,Male,+8801473210927,2026-01-11 05:58:40.004528,Ahmed Islam 701,Westend Branch,active
2026-01-11 06:00:17.487269,Individual,Ahmed Islam 715,Individual,ahmed.islam39@gmail.com,Male,+8801351698831,2026-01-11 06:00:17.850050,Ahmed Islam 715,Westend Branch,active
2026-01-11 05:56:22.972774,Individual,Ahmed Khan 226,Individual,ahmed.khan97@gmail.com,Female,+8801658635576,2026-01-11 05:56:23.331747,Ahmed Khan 226,Eastside Branch,active
2026-01-11 06:01:41.506844,Individual,Ahmed Mirza 273,Individual,ahmed.mirza45@gmail.com,Female,+8801567383550,2026-01-11 06:01:41.906552,Ahmed Mirza 273,Industrial Branch,at_risk
2026-01-11 05:58:20.113389,Individual,Ahmed Mirza 682,Individual,ahmed.mirza21@gmail.com,Female,+8801324984436,2026-01-11 05:58:20.473580,Ahmed Mirza 682,Industrial Branch,active
2026-01-11 05:55:57.243987,Individual,Ahmed Rahman 293,Individual,ahmed.rahman80@gmail.com,Male,+8801566148903,2026-01-11 05:55:57.603097,Ahmed Rahman 293,Uptown Branch,active
2026-01-11 06:00:27.143742,Individual,Ahmed Shah 649,Individual,ahmed.shah64@gmail.com,Female,+8801802211680,2026-01-11 06:00:28.107390,Ahmed Shah 649,Mall Branch,active
2026-01-11 05:57:17.708619,Individual,Ahmed Shah 989,Individual,ahmed.shah99@gmail.com,Female,+8801788531695,2026-01-11 05:57:18.589160,Ahmed Shah 989,Westend Branch,active
2026-01-11 05:58:50.961928,Individual,Ali Ahmed 692,Individual,ali.ahmed9@gmail.com,Female,+8801309394702,2026-01-11 05:58:51.904273,Ali Ahmed 692,Suburban Branch,active
2026-01-11 05:56:32.724618,Individual,Ali Akter 943,Individual,ali.akter2@gmail.com,Female,+8801830851007,2026-01-11 05:56:33.127921,Ali Akter 943,Southgate Branch,at_risk
2026-01-11 06:00:31.607691,Individual,Ali Ali 113,Individual,ali.ali69@gmail.com,Male,+8801737833780,2026-01-11 06:00:32.500985,Ali Ali 113,University Branch,churned
2026-01-11 05:59:54.358555,Individual,Ali Ali 673,Individual,ali.ali91@gmail.com,Female,+8801944611518,2026-01-11 05:59:54.719491,Ali Ali 673,Westend Branch,active
2026-01-11 05:59:54.842864,Individual,Ali Hassan 648,Individual,ali.hassan91@gmail.com,Female,+8801874506063,2026-01-11 05:59:55.731816,Ali Hassan 648,Industrial Branch,active
2026-01-11 06:00:29.937989,Individual,Ali Hassan 673,Individual,ali.hassan52@gmail.com,Male,+8801501725231,2026-01-11 06:00:30.909517,Ali Hassan 673,Westend Branch,active
2026-01-11 05:56:07.857528,Individual,Ali Hassan 732,Individual,ali.hassan99@gmail.com,Female,+8801955048027,2026-01-11 05:56:08.220364,Ali Hassan 732,Airport Branch,active
2026-01-11 05:57:55.878882,Individual,Ali Khan 779,Individual,ali.khan18@gmail.com,Male,+8801785485313,2026-01-11 05:57:56.242522,Ali Khan 779,Southgate Branch,active
2026-01-11 05:56:18.167137,Individual,Ali Rahman 294,Individual,ali.rahman94@gmail.com,Male,+8801900088396,2026-01-11 05:56:18.525459,Ali Rahman 294,Westend Branch,at_risk
2026-01-11 05:57:43.868867,Individual,Ali Rahman 873,Individual,ali.rahman45@gmail.com,Female,+8801570546656,2026-01-11 05:57:44.231134,Ali Rahman 873,Airport Branch,active
2026-01-11 05:57:44.353427,Individual,Ali Rahman 999,Individual,ali.rahman72@gmail.com,Female,+8801376804302,2026-01-11 05:57:44.712835,Ali Rahman 999,Mall Branch,active
2026-01-11 05:56:23.969931,Individual,Ali Shah 712,Individual,ali.shah46@gmail.com,Male,+8801798105905,2026-01-11 05:56:24.331027,Ali Shah 712,Airport Branch,active
2026-01-11 06:00:25.993430,Individual,Ali Sheikh 213,Individual,ali.sheikh90@gmail.com,Male,+8801357167435,2026-01-11 06:00:26.427439,Ali Sheikh 213,Westend Branch,active
2026-01-11 05:58:48.288765,Individual,Ali Siddiqui 776,Individual,ali.siddiqui28@gmail.com,Male,+8801949725548,2026-01-11 05:58:49.227446,Ali Siddiqui 776,Mall Branch,active
2026-01-11 05:56:23.456830,Individual,Amina Ahmed 220,Individual,amina.ahmed99@gmail.com,Male,+8801313095314,2026-01-11 05:56:23.843796,Amina Ahmed 220,Eastside Branch,active
2026-01-11 05:57:08.571869,Individual,Amina Ahmed 570,Individual,amina.ahmed71@gmail.com,Male,+8801743925106,2026-01-11 05:57:09.456979,Amina Ahmed 570,Industrial Branch,active
2026-01-11 05:57:47.830283,Individual,Amina Ahmed 901,Individual,amina.ahmed39@gmail.com,Male,+8801458953654,2026-01-11 05:57:48.185263,Amina Ahmed 901,Mall Branch,active
2026-01-11 05:59:18.010073,Individual,Amina Akter 582,Individual,amina.akter3@gmail.com,Female,+8801620074226,2026-01-11 05:59:18.368081,Amina Akter 582,University Branch,at_risk
2026-01-11 06:00:04.182121,Individual,Amina Begum 462,Individual,amina.begum69@gmail.com,Male,+8801356716298,2026-01-11 06:00:05.105970,Amina Begum 462,Southgate Branch,active
2026-01-11 06:01:31.949890,Individual,Amina Chowdhury 571,Individual,amina.chowdhury62@gmail.com,Female,+8801804088204,2026-01-11 06:01:32.366375,Amina Chowdhury 571,Uptown Branch,active
2026-01-11 05:59:30.228083,Individual,Amina Hossain 641,Individual,amina.hossain19@gmail.com,Female,+8801344137943,2026-01-11 05:59:30.585860,Amina Hossain 641,Eastside Branch,churned
2026-01-11 05:59:50.997947,Individual,Amina Islam 228,Individual,amina.islam17@gmail.com,Male,+8801982620531,2026-01-11 05:59:51.883627,Amina Islam 228,Eastside Branch,active
2026-01-11 06:00:59.278105,Individual,Amina Islam 308,Individual,amina.islam81@gmail.com,Male,+8801760857101,2026-01-11 06:00:59.723720,Amina Islam 308,Southgate Branch,churned
2026-01-11 06:00:07.265382,Individual,Amina Islam 404,Individual,amina.islam51@gmail.com,Male,+8801877514134,2026-01-11 06:00:07.642108,Amina Islam 404,Downtown Branch,active
2026-01-11 05:58:58.627054,Individual,Amina Malik 574,Individual,amina.malik8@gmail.com,Female,+8801339027236,2026-01-11 05:58:58.986968,Amina Malik 574,Airport Branch,churned
2026-01-11 05:57:42.863011,Individual,Amina Mirza 803,Individual,amina.mirza57@gmail.com,Male,+8801678423458,2026-01-11 05:57:43.745296,Amina Mirza 803,University Branch,at_risk
2026-01-11 05:59:46.493358,Individual,Amina Mirza 932,Individual,amina.mirza64@gmail.com,Female,+8801448466078,2026-01-11 05:59:46.858740,Amina Mirza 932,Industrial Branch,active
2026-01-11 06:00:10.601263,Individual,Amina Rahman 191,Individual,amina.rahman53@gmail.com,Male,+8801953645128,2026-01-11 06:00:10.968028,Amina Rahman 191,Mall Branch,at_risk
2026-01-11 05:57:37.595439,Individual,Amina Rahman 462,Individual,amina.rahman24@gmail.com,Female,+8801672219800,2026-01-11 05:57:38.488750,Amina Rahman 462,Industrial Branch,at_risk
2026-01-11 06:00:09.587732,Individual,Amina Sheikh 428,Individual,amina.sheikh25@gmail.com,Female,+8801953095086,2026-01-11 06:00:10.477311,Amina Sheikh 428,Airport Branch,active
2026-01-11 05:58:32.692691,Individual,Amina Sheikh 757,Individual,amina.sheikh8@gmail.com,Male,+8801708496699,2026-01-11 05:58:32.784178,Amina Sheikh 757,Suburban Branch,active
2026-01-11 06:00:34.032450,Individual,Amina Siddiqui 290,Individual,amina.siddiqui5@gmail.com,Female,+8801937531441,2026-01-11 06:00:34.437872,Amina Siddiqui 290,Uptown Branch,active
2026-01-11 05:57:25.511812,Individual,Amina Siddiqui 852,Individual,amina.siddiqui61@gmail.com,Female,+8801303368372,2026-01-11 05:57:26.402123,Amina Siddiqui 852,Industrial Branch,active
2026-01-11 06:00:43.926353,Individual,Amina Uddin 743,Individual,amina.uddin34@gmail.com,Male,+8801718329051,2026-01-11 06:00:44.824916,Amina Uddin 743,Uptown Branch,at_risk
2026-01-11 06:01:29.780697,Individual,Ayesha Ahmed 845,Individual,ayesha.ahmed94@gmail.com,Female,+8801939529460,2026-01-11 06:01:30.744193,Ayesha Ahmed 845,Eastside Branch,active
2026-01-11 06:00:47.320248,Individual,Ayesha Akter 459,Individual,ayesha.akter66@gmail.com,Female,+8801739236502,2026-01-11 06:00:47.681732,Ayesha Akter 459,Mall Branch,active
2026-01-11 05:56:11.874058,Individual,Ayesha Begum 406,Individual,ayesha.begum4@gmail.com,Female,+8801718605617,2026-01-11 05:56:12.234210,Ayesha Begum 406,Southgate Branch,active
2026-01-11 06:01:11.293141,Individual,Ayesha Begum 434,Individual,ayesha.begum92@gmail.com,Female,+8801718021323,2026-01-11 06:01:11.753160,Ayesha Begum 434,Airport Branch,active
2026-01-11 05:57:32.875920,Individual,Ayesha Begum 647,Individual,ayesha.begum18@gmail.com,Male,+8801490302701,2026-01-11 05:57:33.230646,Ayesha Begum 647,Mall Branch,active
2026-01-11 06:00:38.199528,Individual,Ayesha Begum 941,Individual,ayesha.begum1@gmail.com,Female,+8801781449339,2026-01-11 06:00:39.111821,Ayesha Begum 941,Airport Branch,at_risk
2026-01-11 05:59:48.484565,Individual,Ayesha Chowdhury 152,Individual,ayesha.chowdhury29@gmail.com,Female,+8801616622389,2026-01-11 05:59:49.377056,Ayesha Chowdhury 152,Uptown Branch,at_risk
2026-01-11 06:00:19.478273,Individual,Ayesha Chowdhury 559,Individual,ayesha.chowdhury3@gmail.com,Male,+8801914595325,2026-01-11 06:00:20.402288,Ayesha Chowdhury 559,Mall Branch,at_risk
2026-01-11 05:59:21.549098,Individual,Ayesha Hassan 464,Individual,ayesha.hassan16@gmail.com,Male,+8801386876239,2026-01-11 05:59:22.436555,Ayesha Hassan 464,Airport Branch,active
2026-01-11 05:58:19.141965,Individual,Ayesha Hassan 582,Individual,ayesha.hassan4@gmail.com,Male,+8801979871862,2026-01-11 05:58:19.503488,Ayesha Hassan 582,Downtown Branch,active
2026-01-11 06:00:14.614979,Individual,Ayesha Islam 339,Individual,ayesha.islam90@gmail.com,Male,+8801608073122,2026-01-11 06:00:14.975809,Ayesha Islam 339,Airport Branch,churned
2026-01-11 05:57:05.783885,Individual,Ayesha Khan 330,Individual,ayesha.khan28@gmail.com,Male,+8801465858480,2026-01-11 05:57:06.665596,Ayesha Khan 330,Downtown Branch,at_risk
2026-01-11 05:56:03.361475,Individual,Ayesha Mirza 102,Individual,ayesha.mirza33@gmail.com,Female,+8801539521092,2026-01-11 05:56:03.718676,Ayesha Mirza 102,Mall Branch,active
2026-01-11 05:57:52.058902,Individual,Ayesha Mirza 172,Individual,ayesha.mirza52@gmail.com,Male,+8801613876377,2026-01-11 05:57:52.950305,Ayesha Mirza 172,Airport Branch,active
2026-01-11 05:58:22.080134,Individual,Ayesha Mirza 793,Individual,ayesha.mirza41@gmail.com,Male,+8801483018435,2026-01-11 05:58:22.439160,Ayesha Mirza 793,Industrial Branch,churned
2026-01-11 05:55:49.333140,Individual,Ayesha Shah 198,Individual,ayesha.shah29@gmail.com,Male,+8801972609651,2026-01-11 05:55:49.693163,Ayesha Shah 198,Industrial Branch,active
2026-01-11 06:00:48.777633,Individual,Ayesha Shah 420,Individual,ayesha.shah98@gmail.com,Male,+8801889706902,2026-01-11 06:00:49.679431,Ayesha Shah 420,Suburban Branch,at_risk
2026-01-11 06:01:15.838770,Individual,Ayesha Shah 587,Individual,ayesha.shah61@gmail.com,Male,+8801564614677,2026-01-11 06:01:16.304227,Ayesha Shah 587,Southgate Branch,active
2026-01-11 05:58:58.088729,Individual,Ayesha Sheikh 362,Individual,ayesha.sheikh71@gmail.com,Male,+8801542020009,2026-01-11 05:58:58.501502,Ayesha Sheikh 362,Mall Branch,active
2026-01-11 05:57:41.034221,Individual,Ayesha Siddiqui 492,Individual,ayesha.siddiqui75@gmail.com,Male,+8801483581188,2026-01-11 05:57:41.923314,Ayesha Siddiqui 492,Southgate Branch,active
2026-01-11 05:59:56.337487,Individual,Ayesha Siddiqui 845,Individual,ayesha.siddiqui43@gmail.com,Male,+8801791128658,2026-01-11 05:59:56.692877,Ayesha Siddiqui 845,Uptown Branch,active
2026-01-11 05:57:17.229852,Individual,Bilal Ali 103,Individual,bilal.ali12@gmail.com,Female,+8801418624548,2026-01-11 05:57:17.585709,Bilal Ali 103,Mall Branch,active
2026-01-11 05:57:37.112718,Individual,Bilal Hassan 289,Individual,bilal.hassan25@gmail.com,Male,+8801513219625,2026-01-11 05:57:37.472736,Bilal Hassan 289,Westend Branch,active
2026-01-11 05:56:18.649686,Individual,Bilal Islam 698,Individual,bilal.islam51@gmail.com,Male,+8801448508256,2026-01-11 05:56:19.005907,Bilal Islam 698,Mall Branch,churned
2026-01-11 05:56:30.746146,Individual,Bilal Malik 737,Individual,bilal.malik26@gmail.com,Male,+8801487858963,2026-01-11 05:56:31.102775,Bilal Malik 737,Uptown Branch,active
2026-01-11 05:56:30.261489,Individual,Bilal Shah 402,Individual,bilal.shah72@gmail.com,Male,+8801731755705,2026-01-11 05:56:30.622173,Bilal Shah 402,Industrial Branch,churned
2026-01-11 05:56:49.157686,Individual,Bilal Sheikh 751,Individual,bilal.sheikh8@gmail.com,Female,+8801523258334,2026-01-11 05:56:49.518127,Bilal Sheikh 751,Industrial Branch,active
2026-01-11 05:58:01.317539,Individual,Bilal Siddiqui 994,Individual,bilal.siddiqui19@gmail.com,Male,+8801979558440,2026-01-11 05:58:02.209439,Bilal Siddiqui 994,Downtown Branch,at_risk
2026-01-11 05:56:58.025166,Individual,Dalia Ahmed 603,Individual,dalia.ahmed40@gmail.com,Female,+8801906470244,2026-01-11 05:56:58.391089,Dalia Ahmed 603,Southgate Branch,active
2026-01-11 05:58:18.661316,Individual,Dalia Ahmed 640,Individual,dalia.ahmed23@gmail.com,Male,+8801636763311,2026-01-11 05:58:19.018056,Dalia Ahmed 640,Suburban Branch,at_risk
2026-01-11 05:57:40.059961,Individual,Dalia Ahmed 995,Individual,dalia.ahmed86@gmail.com,Male,+8801884063583,2026-01-11 05:57:40.427320,Dalia Ahmed 995,Airport Branch,active
2026-01-11 05:56:48.674254,Individual,Dalia Hossain 787,Individual,dalia.hossain49@gmail.com,Male,+8801683272743,2026-01-11 05:56:49.033696,Dalia Hossain 787,Suburban Branch,active
2026-01-11 05:59:09.631104,Individual,Dalia Islam 300,Individual,dalia.islam15@gmail.com,Female,+8801887136046,2026-01-11 05:59:10.001509,Dalia Islam 300,Southgate Branch,active
2026-01-11 05:58:23.361269,Individual,Dalia Khan 568,Individual,dalia.khan4@gmail.com,Male,+8801369740370,2026-01-11 05:58:24.251907,Dalia Khan 568,Mall Branch,active
2026-01-11 05:58:41.144644,Individual,Dalia Rahman 489,Individual,dalia.rahman36@gmail.com,Female,+8801328598020,2026-01-11 05:58:42.025793,Dalia Rahman 489,Airport Branch,at_risk
2026-01-11 06:01:15.215235,Individual,Dalia Rahman 780,Individual,dalia.rahman27@gmail.com,Male,+8801440173645,2026-01-11 06:01:15.680561,Dalia Rahman 780,Downtown Branch,active
2026-01-11 05:59:48.002461,Individual,Dalia Sheikh 114,Individual,dalia.sheikh63@gmail.com,Male,+8801846361090,2026-01-11 05:59:48.360726,Dalia Sheikh 114,Downtown Branch,active
2026-01-11 06:00:25.465334,Individual,Dalia Sheikh 895,Individual,dalia.sheikh50@gmail.com,Male,+8801305714057,2026-01-11 06:00:25.856414,Dalia Sheikh 895,Mall Branch,at_risk
2026-01-11 05:58:07.004241,Individual,Dalia Siddiqui 366,Individual,dalia.siddiqui71@gmail.com,Female,+8801678741202,2026-01-11 05:58:07.404217,Dalia Siddiqui 366,Eastside Branch,at_risk
2026-01-11 05:59:17.043242,Individual,Dalia Siddiqui 465,Individual,dalia.siddiqui52@gmail.com,Male,+8801807203340,2026-01-11 05:59:17.401336,Dalia Siddiqui 465,Industrial Branch,at_risk
2026-01-11 06:00:06.742809,Individual,Dalia Uddin 525,Individual,dalia.uddin20@gmail.com,Female,+8801758095146,2026-01-11 06:00:07.136812,Dalia Uddin 525,Eastside Branch,at_risk
2026-01-11 06:00:05.231687,Individual,Dalia Uddin 901,Individual,dalia.uddin73@gmail.com,Female,+8801828294609,2026-01-11 06:00:05.592092,Dalia Uddin 901,Suburban Branch,at_risk
2026-01-11 06:01:16.457599,Individual,Dalia Uddin 958,Individual,dalia.uddin37@gmail.com,Female,+8801549083723,2026-01-11 06:01:16.900656,Dalia Uddin 958,Mall Branch,churned
2026-01-11 05:58:45.542068,Individual,Faisal Ahmed 372,Individual,faisal.ahmed30@gmail.com,Female,+8801925586269,2026-01-11 05:58:46.529690,Faisal Ahmed 372,Industrial Branch,active
2026-01-11 05:59:33.006870,Individual,Faisal Akter 361,Individual,faisal.akter52@gmail.com,Male,+8801589120776,2026-01-11 05:59:33.364857,Faisal Akter 361,Southgate Branch,active
2026-01-11 05:57:14.335301,Individual,Faisal Akter 441,Individual,faisal.akter49@gmail.com,Male,+8801648357087,2026-01-11 05:57:14.695682,Faisal Akter 441,Airport Branch,active
2026-01-11 05:57:46.866556,Individual,Faisal Hossain 993,Individual,faisal.hossain27@gmail.com,Male,+8801796701849,2026-01-11 05:57:47.225933,Faisal Hossain 993,Airport Branch,active
2026-01-11 05:57:30.898294,Individual,Faisal Islam 147,Individual,faisal.islam70@gmail.com,Female,+8801385706325,2026-01-11 05:57:31.260479,Faisal Islam 147,Mall Branch,active
2026-01-11 05:59:11.150859,Individual,Faisal Islam 497,Individual,faisal.islam30@gmail.com,Male,+8801629427372,2026-01-11 05:59:12.042761,Faisal Islam 497,University Branch,at_risk
2026-01-11 06:00:51.299888,Individual,Faisal Malik 626,Individual,faisal.malik42@gmail.com,Male,+8801459290012,2026-01-11 06:00:51.662487,Faisal Malik 626,Downtown Branch,active
2026-01-11 06:00:22.503230,Individual,Faisal Mirza 746,Individual,faisal.mirza84@gmail.com,Female,+8801529943895,2026-01-11 06:00:23.386822,Faisal Mirza 746,Westend Branch,active
2026-01-11 05:56:50.946223,Individual,Faisal Mirza 748,Individual,faisal.mirza78@gmail.com,Male,+8801919570804,2026-01-11 05:56:51.829408,Faisal Mirza 748,Industrial Branch,active
2026-01-11 05:59:33.972174,Individual,Faisal Mirza 850,Individual,faisal.mirza50@gmail.com,Female,+8801798074536,2026-01-11 05:59:34.330761,Faisal Mirza 850,Uptown Branch,at_risk
2026-01-11 06:00:36.141940,Individual,Faisal Mirza 921,Individual,faisal.mirza57@gmail.com,Male,+8801693230248,2026-01-11 06:00:37.039552,Faisal Mirza 921,Airport Branch,at_risk
2026-01-11 05:58:54.383448,Individual,Faisal Rahman 446,Individual,faisal.rahman5@gmail.com,Male,+8801657963437,2026-01-11 05:58:54.768370,Faisal Rahman 446,Eastside Branch,churned
2026-01-11 05:59:29.222542,Individual,Faisal Rahman 907,Individual,faisal.rahman40@gmail.com,Male,+8801962109011,2026-01-11 05:59:30.105602,Faisal Rahman 907,Downtown Branch,active
2026-01-11 05:55:43.053421,Individual,Faisal Shah 101,Individual,faisal.shah75@gmail.com,Female,+8801767652991,2026-01-11 05:55:43.417832,Faisal Shah 101,Mall Branch,active
2026-01-11 05:56:20.090998,Individual,Faisal Sheikh 531,Individual,faisal.sheikh21@gmail.com,Male,+8801904120004,2026-01-11 05:56:20.975625,Faisal Sheikh 531,University Branch,active
2026-01-11 05:59:34.454796,Individual,Faisal Sheikh 579,Individual,faisal.sheikh35@gmail.com,Female,+8801503473254,2026-01-11 05:59:34.815974,Faisal Sheikh 579,University Branch,at_risk
2026-01-11 05:59:42.676455,Individual,Faisal Siddiqui 629,Individual,faisal.siddiqui4@gmail.com,Male,+8801384415658,2026-01-11 05:59:43.038382,Faisal Siddiqui 629,Mall Branch,at_risk
2026-01-11 05:55:57.725993,Individual,Fatima Akter 300,Individual,fatima.akter50@gmail.com,Male,+8801555892964,2026-01-11 05:55:58.085356,Fatima Akter 300,Downtown Branch,at_risk
2026-01-11 06:00:42.908918,Individual,Fatima Akter 935,Individual,fatima.akter52@gmail.com,Male,+8801875688193,2026-01-11 06:00:43.799452,Fatima Akter 935,Industrial Branch,at_risk
2026-01-11 05:57:05.303016,Individual,Fatima Ali 629,Individual,fatima.ali1@gmail.com,Female,+8801635660010,2026-01-11 05:57:05.660385,Fatima Ali 629,Suburban Branch,churned
2026-01-11 06:00:40.844537,Individual,Fatima Begum 702,Individual,fatima.begum73@gmail.com,Female,+8801507496476,2026-01-11 06:00:41.247875,Fatima Begum 702,Mall Branch,active
2026-01-11 06:00:46.303198,Individual,Fatima Islam 532,Individual,fatima.islam5@gmail.com,Male,+8801502262325,2026-01-11 06:00:46.702091,Fatima Islam 532,University Branch,active
2026-01-11 05:59:19.507948,Individual,Fatima Malik 822,Individual,fatima.malik29@gmail.com,Male,+8801825345269,2026-01-11 05:59:20.400718,Fatima Malik 822,Uptown Branch,churned
2026-01-11 05:55:39.831441,Individual,Fatima Mirza 478,Individual,fatima.mirza97@gmail.com,Female,+8801565951151,2026-01-11 05:55:40.191712,Fatima Mirza 478,Airport Branch,at_risk
2026-01-11 05:58:47.210634,Individual,Fatima Mirza 915,Individual,fatima.mirza8@gmail.com,Female,+8801510969407,2026-01-11 05:58:47.618255,Fatima Mirza 915,Suburban Branch,active
2026-01-11 06:01:04.457064,Individual,Fatima Uddin 116,Individual,fatima.uddin72@gmail.com,Female,+8801454012284,2026-01-11 06:01:04.995969,Fatima Uddin 116,Industrial Branch,active
2026-01-11 05:58:43.120051,Individual,Fatima Uddin 560,Individual,fatima.uddin55@gmail.com,Male,+8801314787053,2026-01-11 05:58:43.485410,Fatima Uddin 560,Uptown Branch,active
2026-01-11 05:56:01.110886,Individual,Fatima Uddin 687,Individual,fatima.uddin7@gmail.com,Female,+8801675914486,2026-01-11 05:56:01.467773,Fatima Uddin 687,Airport Branch,churned
2026-01-11 05:57:01.329859,Individual,Hana Ahmed 657,Individual,hana.ahmed82@gmail.com,Female,+8801365007495,2026-01-11 05:57:02.209752,Hana Ahmed 657,University Branch,active
2026-01-11 05:58:29.910612,Individual,Hana Ali 279,Individual,hana.ali43@gmail.com,Male,+8801958537968,2026-01-11 05:58:30.268583,Hana Ali 279,Westend Branch,active
2026-01-11 05:59:04.872367,Individual,Hana Ali 732,Individual,hana.ali70@gmail.com,Female,+8801995984755,2026-01-11 05:59:05.792023,Hana Ali 732,Industrial Branch,churned
2026-01-11 05:56:49.641580,Individual,Hana Hassan 284,Individual,hana.hassan28@gmail.com,Female,+8801384242063,2026-01-11 05:56:50.003493,Hana Hassan 284,University Branch,at_risk
2026-01-11 05:57:51.578090,Individual,Hana Hassan 489,Individual,hana.hassan41@gmail.com,Male,+8801314926582,2026-01-11 05:57:51.935951,Hana Hassan 489,Airport Branch,at_risk
2026-01-11 06:00:09.102598,Individual,Hana Khan 171,Individual,hana.khan49@gmail.com,Female,+8801869248466,2026-01-11 06:00:09.463790,Hana Khan 171,Suburban Branch,active
2026-01-11 05:57:44.834626,Individual,Hana Khan 209,Individual,hana.khan98@gmail.com,Male,+8801961166578,2026-01-11 05:57:45.725238,Hana Khan 209,Eastside Branch,at_risk
2026-01-11 05:57:24.503259,Individual,Hana Khan 693,Individual,hana.khan64@gmail.com,Female,+8801831935566,2026-01-11 05:57:25.389159,Hana Khan 693,Suburban Branch,active
2026-01-11 05:56:34.548219,Individual,Hana Mirza 881,Individual,hana.mirza69@gmail.com,Male,+8801997658729,2026-01-11 05:56:35.442741,Hana Mirza 881,Eastside Branch,at_risk
2026-01-11 05:56:39.633071,Individual,Hana Shah 400,Individual,hana.shah48@gmail.com,Female,+8801939389288,2026-01-11 05:56:40.573673,Hana Shah 400,Downtown Branch,at_risk
2026-01-11 05:56:35.566309,Individual,Hana Shah 426,Individual,hana.shah76@gmail.com,Female,+8801676313828,2026-01-11 05:56:36.452211,Hana Shah 426,Mall Branch,active
2026-01-11 05:55:52.348763,Individual,Hana Sheikh 749,Individual,hana.sheikh34@gmail.com,Male,+8801425723805,2026-01-11 05:55:52.768386,Hana Sheikh 749,Mall Branch,at_risk
2026-01-11 05:57:51.095003,Individual,Hana Siddiqui 812,Individual,hana.siddiqui56@gmail.com,Female,+8801376168405,2026-01-11 05:57:51.454223,Hana Siddiqui 812,Westend Branch,at_risk
2026-01-11 06:00:28.816090,Individual,Hana Uddin 713,Individual,hana.uddin98@gmail.com,Female,+8801678469471,2026-01-11 06:00:29.804537,Hana Uddin 713,Suburban Branch,at_risk
